en-CA;ESDWD12PRML;180082;WinDVD Pro 12;79.99;63.99;;20%;-31%;($25)
en-CA;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;59.99;47.99;;20%;-33%;($20)
de-DE;ESDWD12PRML;180082;WinDVD Pro 12;69,99;55,99;;20 %;-20%;($21)
de-DE;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;49,99;39,99;;20 %;-20%;($15)
en-AU;ESDWD12PRML;180082;WinDVD Pro 12;79;63;;20%;-20%;($24)
en-AU;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;59;47;;20%;-32%;($19)
en-GB;ESDWD12PRML;180082;WinDVD Pro 12;69.99;55.99;;20%;-20%;($21)
en-GB;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;44.99;35.99;;20%;-33%;($15)
en-US;ESDWD12PRML;180082;WinDVD Pro 12;79.99;63.99;;20%;-31%;($25)
en-US;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;59.99;47.99;;20%;-33%;($20)
fr-FR;ESDWD12PRML;180082;WinDVD Pro 12;69,99;55,99;;20 %;-20%;($21)
fr-FR;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;49,99;39,99;;20 %;-20%;($15)
ja-JP;ESDWD12PRML;180082;WinDVD Pro 12;7,020;5,580;;20%;-20%;($2,106)
ja-JP;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;5,832;4,580;;20%;-20%;($1,750)